date,total_holdings_tonnes
2000-01-31,33516.50185368838
2000-02-29,33459.87524994374
2000-03-31,33443.82571861536
2000-04-30,33418.830703941356
2000-05-31,33368.6326255243
2000-06-30,33267.29687511904
2000-07-31,33224.08286560868
2000-08-31,33358.14221574983
2000-09-30,33309.87291835011
2000-10-31,33304.58208581937
2000-11-30,33246.52035710087
2000-12-31,33212.733155432055
2001-01-31,33180.0804778592
2001-02-28,33145.349379212785
2001-03-31,33064.828952676835
2001-04-30,33045.13631505617
2001-05-31,33015.8603053554
2001-06-30,33026.54583230603
2001-07-31,32983.51641080047
2001-08-31,32953.95489866354
2001-09-30,32916.07123292302
2001-10-31,32899.98012272806
2001-11-30,32855.451099183454
2001-12-31,32933.557179737036
2002-01-31,32881.41469877307
2002-02-28,32846.31606254261
2002-03-31,32815.87469462673
2002-04-30,32751.108785184115
2002-05-31,32665.669563594114
2002-06-30,32636.190427141002
2002-07-31,32604.529186811942
2002-08-31,32578.830387432296
2002-09-30,32556.60767631009
2002-10-31,32535.693446935362
2002-11-30,32507.280416468464
2002-12-31,32563.97912931987
2003-01-31,32497.89748429253
2003-02-28,32429.35116944859
2003-03-31,32427.71854938989
2003-04-30,32366.077993616553
2003-05-31,32345.932955450346
2003-06-30,32293.317811285182
2003-07-31,32255.483598456423
2003-08-31,32200.884807333143
2003-09-30,32138.69886219068
2003-10-31,32129.644450829604
2003-11-30,32057.50199955993
2003-12-31,32006.244643023732
2004-01-31,31966.28395297333
2004-02-29,31944.893257781107
2004-03-31,31902.339840929813
2004-04-30,31882.790082600553
2004-05-31,31868.98019171618
2004-06-30,31881.920952872682
2004-07-31,31851.512732061787
2004-08-31,31809.30604587046
2004-09-30,31800.11474082508
2004-10-31,31733.059160290355
2004-11-30,31675.955241097065
2004-12-31,31487.43190202433
2005-01-31,31421.979069874007
2005-02-28,31336.17093400061
2005-03-31,31255.48995137356
2005-04-30,31211.909003423876
2005-05-31,31188.525138892575
2005-06-30,31110.69648636985
2005-07-31,31082.40045758288
2005-08-31,31057.054029057854
2005-09-30,31048.01049621938
2005-10-31,30982.149748507207
2005-11-30,30936.73374937492
2005-12-31,30884.188675910435
2006-01-31,30861.997887913283
2006-02-28,30833.67349710599
2006-03-31,30789.307061188356
2006-04-30,30763.282710559502
2006-05-31,30692.664662988584
2006-06-30,30690.22062508012
2006-07-31,30671.29635920666
2006-08-31,30641.802256438143
2006-09-30,30582.661198132504
2006-10-31,30572.800607289813
2006-11-30,30537.396227687408
2006-12-31,30519.135021285085
2007-01-31,30503.629426074083
2007-02-28,30482.789854721566
2007-03-31,30438.522887028026
2007-04-30,30374.09858288597
2007-05-31,30339.31525084967
2007-06-30,30282.741365961785
2007-07-31,30205.503232157924
2007-08-31,30173.37999270277
2007-09-30,30116.116320278586
2007-10-31,30077.429743758017
2007-11-30,30065.46627557613
2007-12-31,30014.642710520617
2008-01-31,29985.21195375351
2008-02-29,30139.84676364143
2008-03-31,30145.887534122787
2008-04-30,30106.70085104708
2008-05-31,30092.210431421674
2008-06-30,30103.969315369744
2008-07-31,30023.663603633588
2008-08-31,30020.902675369893
2008-09-30,30003.90731262433
2008-10-31,30013.29452639086
2008-11-30,30006.186719573827
2008-12-31,30002.549103025445
2009-01-31,30003.42251120669
2009-02-28,29980.018465869893
2009-03-31,29963.75115745144
2009-04-30,30389.04667185571
2009-05-31,30389.089393144484
2009-06-30,30395.131756932893
2009-07-31,30414.197367991615
2009-08-31,30422.558933084412
2009-09-30,30425.50968566636
2009-10-31,30448.277415825076
2009-11-30,30446.16051516916
2009-12-31,30527.009569147333
2010-01-31,30703.205456200256
2010-02-28,30790.356955409068
2010-03-31,30855.40326522139
2010-04-30,30845.320604839737
2010-05-31,30850.68155275432
2010-06-30,30860.01328046511
2010-07-31,30891.092135280138
2010-08-31,30890.407926265478
2010-09-30,30874.195344160133
2010-10-31,30860.995185302378
2010-11-30,30852.51382411513
2010-12-31,30847.96720562969
2011-01-31,30838.386736193424
2011-02-28,30883.902024676776
2011-03-31,30996.398855494608
2011-04-30,31000.37267751143
2011-05-31,31015.300978940573
2011-06-30,31023.764405640235
2011-07-31,31024.22649323828
2011-08-31,31028.0159729045
2011-09-30,31067.062273939802
2011-10-31,31116.819706810835
2011-11-30,31183.532281941043
2011-12-31,31214.040790324678
2012-01-31,31225.026005927375
2012-02-29,31225.34840318729
2012-03-31,31297.361354741337
2012-04-30,31337.82426386648
2012-05-31,31374.433272161004
2012-06-30,31377.75774990387
2012-07-31,31470.32673766489
2012-08-31,31501.641715205053
2012-09-30,31529.549431967578
2012-10-31,31583.234815916774
2012-11-30,31617.775436079282
2012-12-31,31689.192501275258
2013-01-31,31839.75610927634
2013-02-28,31886.770852258414
2013-03-31,31943.314087339957
2013-04-30,32003.801082749
2013-05-31,32052.01743132439
2013-06-30,32050.082566548353
2013-07-31,32036.505585628445
2013-08-31,32001.95854382716
2013-09-30,32031.644235159205
2013-10-31,32031.441734220596
2013-11-30,32009.56859954698
2013-12-31,32036.756047933693
2014-01-31,31993.349916912688
2014-02-28,31984.719141190184
2014-03-31,32048.598010592985
2014-04-30,32060.370589313516
2014-05-31,32031.30023040518
2014-06-30,32092.428393375918
2014-07-31,32183.069489450856
2014-08-31,32229.721702597955
2014-09-30,32332.692542662255
2014-10-31,32300.647816229142
2014-11-30,32221.630600162065
2014-12-31,32271.04655697672
2015-01-31,32236.1058582874
2015-02-28,32199.6403435117
2015-03-31,32152.457866949644
2015-04-30,32139.510779121854
2015-05-31,32149.810706377793
2015-06-30,32821.744429517275
