variable_id,observation_period,observation_period_type,observation_year,observation_quarter,bar_demand_tonnes,official_coin_demand_tonnes,medals_imitation_coin_tonnes,total_bar_and_coin_tonnes,named_country_total_tonnes,other_and_stock_change_tonnes,world_total_bar_and_coin_sheet_tonnes,unit,source_name,source_workbook,source_publication_date,download_date,workbook_sha256,ingested_at,parser_version,underlying_providers,is_revised,prior_workbook_sha256,prior_total_bar_and_coin_tonnes,revision_reason,validation_status,availability_status,anomaly_notes
L0-005,2010,annual,2010,,918.49822878,236.0278312,91.58868511,1246.11474509,1163.59955323,81.80990466,1245.40945789,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'10,quarterly,2010,1,,,,261.36643471,246.05248036,15.42433607,261.47681643,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'10,quarterly,2010,2,,,,319.15058277,290.53219178,26.66447928,317.19667106,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'10,quarterly,2010,3,,,,328.45270493,306.04346536,22.07035331,328.11381867,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'10,quarterly,2010,4,,,,337.14502268,320.97141573,17.650736,338.62215173,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2011,annual,2011,,1141.66732805,293.21217908,102.91333459,1537.79284172,1417.71363991,119.91911878,1537.63275869,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'11,quarterly,2011,1,,,,406.64289969,378.42759149,28.66756498,407.09515647,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'11,quarterly,2011,2,,,,341.52884327,318.39369521,23.50356038,341.89725559,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'11,quarterly,2011,3,,,,428.83861304,389.44440379,38.69356024,428.13796403,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'11,quarterly,2011,4,,,,360.78248572,331.44794942,29.05443318,360.5023826,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2012,annual,2012,,985.01405989,248.72721774,109.57621922,1343.31749685,1250.8141005,92.57913076,1343.39323126,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
