STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FXR_CURRENCY,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,CURRENCY,ACCOUNTING_ENTRY,VALUATION,TRANSFORMATION,UNIT,DERIVATION_TYPE,OVERLAP,STATUS
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2012,183455430059.266,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2013,222532504665.598,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2014,209072045567.77,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2015,199865466100,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2016,200425360290,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2017,225334224160,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2018,198716807756.666,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2019,217160254256.825,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2020,251447616018.35,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2021,258935860358.432,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2022,266153064762.163,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2023,257087165004.811,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2024,251065325486.428,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,A,2025,265942867196.437,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2012-Q4,183455430059.266,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2013-Q1,199792746976.156,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2013-Q2,201299827816.383,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2013-Q3,206599098771.145,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2013-Q4,222532504665.598,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2014-Q1,223447937361.48,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2014-Q2,228686195536.679,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2014-Q3,219055590898.066,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2014-Q4,209072045567.77,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2015-Q1,197948974263.723,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2015-Q2,206454343760,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2015-Q3,182136696190,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2015-Q4,199865466100,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2016-Q1,205681618350,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2016-Q2,203409242920,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2016-Q3,213648991120,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2016-Q4,200425360290,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2017-Q1,213235884460,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2017-Q2,214845292350,6,,,,AUD,CO,NV,,USD,O,,
dataflow,IMF.STA:COFER(7.0.1),R,G001,AFXRA,CI_AUD,NV_USD,Q,2017-Q3,219854518980,6,,,,AUD,CO,NV,,USD,O,,
