STRUCTURE,STRUCTURE_ID,ACTION,FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE,COLLECTION,UNIT_MULT,UNIT_MEASURE,TITLE_TS,DECIMALS,OBS_STATUS,OBS_PRE_BREAK,OBS_CONF
dataflow,BIS:WS_TC(2.0),I,,5A,P,A,M,USD,A,,,E,,,,3,,,
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,1999-Q1,37634.291,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,1999-Q2,37648.594,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,1999-Q3,39772.57,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,1999-Q4,40509.852,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2000-Q1,40384.382,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2000-Q2,40540.803,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2000-Q3,40038.577,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2000-Q4,40658.138,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2001-Q1,39377.323,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2001-Q2,39626.334,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2001-Q3,41232.641,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2001-Q4,40765.55,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2002-Q1,41061.027,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2002-Q2,44237.977,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2002-Q3,44343.536,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2002-Q4,46192.522,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2003-Q1,47007.499,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2003-Q2,48751.596,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2003-Q3,50385.379,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2003-Q4,52937.465,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2004-Q1,53515.183,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2004-Q2,53581.493,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2004-Q3,54763.593,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2004-Q4,58911.623,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2005-Q1,58413.441,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2005-Q2,57987.331,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2005-Q3,59050.536,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2005-Q4,59583.547,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2006-Q1,61675.594,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2006-Q2,64732.669,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2006-Q3,65833.207,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2006-Q4,68478.14,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2007-Q1,70335.496,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2007-Q2,72785.802,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2007-Q3,76659.581,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2007-Q4,79990.053,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2008-Q1,84658.689,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2008-Q2,85875.508,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2008-Q3,82965.655,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2008-Q4,81546.715,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2009-Q1,79829.799,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2009-Q2,83760.877,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2009-Q3,86390.673,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2009-Q4,86706.94,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2010-Q1,85585.105,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2010-Q2,84108.855,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2010-Q3,89380.673,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
dataflow,BIS:WS_TC(2.0),I,Q,5A,P,A,M,USD,A,2010-Q4,90274.31,E,9,USD,All reporting countries (aggregate) - Credit to Private non-financial sector from All sectors at Market value - US dollar - Adjusted for breaks,,A,,F
